,ABCB4,ENJU3,IGBR3,BMEB4,VAMO3,PRNR3,MDIA3,BDLL3,TPIS3,HOOT4,CEEB3,TIMS3,CGAS5,TKNO3,EQTL3,MERC4,ECOR3,AMBP3,ENAT3,POMO4,CTNM3,SHUL4,CEED4,NGRD3,ALPA4,BKBR3,BALM4,JSLG3,CESP5,AHEB5,ITSA3,CORR3,CMIG3,BRSR3,BRSR6,BMIN4,HAGA4,CPLE5,PETR4,AGRO3,EQPA5,CASN3,MNDL3,PINE4,DIRR3,MAPT3,COGN3,PEAB3,TIET4,JOPA3,AFLT3,BOAS3,BNBR3,ATOM3,CIEL3,HAPV3,CEGR3,CEPE5,SLCE3,OFSA3,HETA4,CGAS3,AHEB6,HBOR3,REDE3,BMGB4,RADL3,ETER3,BMOB3,CEBR6,MYPK3,OIBR3,DOHL3,EUCA3,LJQQ3,AVLL3,CGRA4,PETR3,SEER3,JALL3,CEBR3,SLED4,SAPR4,CSAN3,NORD3,LREN3,USIM3,OPCT3,CRPG6,CMIN3,SHUL3,HGTX3,CPLE3,BEEF3,RCSL3,FIGE4,CURY3,MSPA4,ELET3,HBTS5,FRTA3,ELET6,ELMD3,UCAS3,HBRE3,BTTL3,MEAL3,BIDI4,AZUL4,EEEL3,GEPA4,LAVV3,BSLI3,TCNO3,GMAT3,LINX3,HOOT3,RPAD5,AZEV3,SMTO3,SULA4,RSUL4,BPAN4,ALPA3,EZTC3,TEKA4,SQIA3,LAME3,JBSS3,COCE3,CRPG3,BRKM6,UNIP3,UGPA3,BRGE6,EKTR4,BBAS3,MOAR3,USIM6,MEND6,ATMP3,SOND6,CEEB5,TFCO4,RENT3,CEDO4,SANB3,UNIP6,CSMG3,VIVR3,PATI4,AZEV4,BDLL4,BSEV3,PARD3,CCPR3,TASA3,EALT3,PETZ3,ORVR3,ITSA4,TASA4,RANI3,MMAQ3,POMO3,TESA3,PNVL3,MWET4,ALUP4,TUPY3,QUAL3,INTB3,SBSP3,CSNA3,GOLL4,MWET3,SOND5,RAPT3,CSRN3,GSHP3,RDOR3,PFRM3,VVAR3,BRKM5,CCRO3,ITUB4,TAEE3,BRGE8,WEGE3,RSID3,RDNI3,CSED3,BRML3,ABEV3,NEOE3,MRVE3,SANB4,BSLI4,EEEL4,BRAP3,ASAI3,EMAE4,WHRL4,MAPT4,DASA3,HBSA3,FLRY3,ENEV3,CESP3,ALSO3,RNEW4,DMMO3,BRKM3,HYPE3,TEND3,RAIL3,USIM5,CTNM4,EQPA6,PLPL3,MTIG4,EUCA4,PTNT4,CEAB3,TKNO4,BPAC3,ANIM3,ECPR4,FIGE3,EGIE3,GGBR4,SNSY5,EQPA3,DMVF3,GOAU3,AERI3,GPCP3,KLBN4,YDUQ3,AHEB3,MBLY3,GEPA3,ECPR3,CASN4,RPAD6,EALT4,MEND3,EMBR3,DTEX3,BOBR4,PPAR3,OIBR4,RCSL4,LUXM4,TIET3,JOPA4,MSPA3,BRSR5,BRAP4,EMAE3,CEBR5,TXRX4,BAHI3,CTKA4,TXRX3,JHSF3,TRPL4,COCE6,CEED3,ESPA3,MERC3,MTSA4,PEAB4,OMGE3,CYRE3,BRFS3,SCAR3,VIVA3,WHRL3,CRFB3,KLBN3,SHOW3,MRFG3,CMIG4,CRPG5,CSRN6,TELB4,SNSY3,PMAM3,BMKS3,TELB3,CNTO3,GFSA3,MOVI3,MNPR3,EVEN3,COCE5,CPFE3,FRAS3,FHER3,MTRE3,VALE3,CALI3,CARD3,LLIS3,RRRP3,NUTR3,ENMT4,ALPK3,LHER4,MMAQ4,EQPA7,TAEE4,CAMB3,RPMG3,CAML3,ODER4,BMIN3,BALM3,RPAD3,LCAM3,GUAR3,AMAR3,FRIO3,TGMA3,FESA4,LEVE3,LUXM3,SLED3,CEPE6,MTSA3,TCNO4,JBDU4,BAUH4,BIOM3,CASH3,LPSB3,ENGI3,POSI3,HAGA3,BRIV3,GOAU4,BPAC5,GRND3,CLSC3,TECN3,VULC3,CLSC4,ENBR3,BGIP3,EKTR3,ODPV3,TRPL3,GGBR3,CRIV4,MTIG3,MMXM3,BBSE3,PATI3,CVCB3,BIDI3,NTCO3,VSPT3,ROMI3,CEDO3,SEQL3,ELET5,BOBR3,MGLU3,SMLS3,CTKA3,MDNE3,ESTR4,JFEN3,RNEW3,TOTS3,APER3,TRIS3,CRDE3,BBDC3,BRGE3,SGPS3,OSXB3,SUZB3,LHER3,CTSA4,TCSA3,STBP3,PDGR3,CORR4,JBDU3,BBDC4,DTCY3,PLAS3,ARZZ3,BRGE5,JPSA3,GPAR3,BTOW3,MGEL3,PRIO3,SOMA3,PGMN3,CALI4,PNVL4,CGRA3,PTNT3,WLMM4,CBEE3,LIGT3,BRPR3,ITUB3,B3SA3,BRDT3,INEP3,CTSA3,ENGI4,LWSA3,LUPA3,LAME4,VLID3,WIZS3,ALUP3,BRIV4,LIPR3,SAPR3,IGTA3,PDTC3,MOSI3,MILS3,GNDI3,MULT3,BGIP4,KEPL3,CAMB4,SIMH3,SULA3,MGEL4,BBRK3,LOGG3,PSSA3,INEP4,GPCP4,WEST3,CSAB4,IRBR3,ENMT3,LOGN3,DOHL4,TEKA3,UNIP5,FESA3,RAPT4,CSRN5,VIVT3,BEES3,BAZA3,BMEB3,AALR3,PTBL3,CRIV3,CPLE6,POWE3,CESP6,MELK3,PCAR3,BAUH3,BEES4,CSAB3
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,low_beta,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,high_beta,0,0,low_beta,0,0,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,high_beta,low_beta,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,0,0
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,low_beta,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,low_beta,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,high_beta,0,0,low_beta,0,0,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,high_beta,low_beta,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,0,0
2016-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,low_beta,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,high_beta,0,0,low_beta,0,0,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,high_beta,low_beta,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,0,0
2016-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,low_beta,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,high_beta,low_beta,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,0,0
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,high_beta,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,low_beta,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,high_beta,low_beta,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,high_beta,0,0,high_beta,0,high_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,high_beta,high_beta,0,0,0,0,0,0,0,0,0,low_beta,high_beta,high_beta,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,low_beta,0,0,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,low_beta,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,high_beta,0,high_beta,high_beta,0,0,0,0,0,0,0,0,0,low_beta,high_beta,high_beta,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,low_beta,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,low_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,high_beta,0,high_beta,high_beta,0,0,0,0,0,0,0,0,0,low_beta,high_beta,high_beta,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,low_beta,0,0,0,0,0,0,0,0,0,low_beta,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,high_beta,0,high_beta,high_beta,0,0,0,0,0,0,0,0,0,low_beta,high_beta,high_beta,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,high_beta,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,low_beta,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,high_beta,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,high_beta,0,0,high_beta,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,high_beta,0,high_beta,high_beta,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,low_beta,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,low_beta,0,0,low_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,high_beta,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,0,0,low_beta,high_beta,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,high_beta,low_beta,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,high_beta,0,0,0,0,high_beta,0,0,0,0,0,0,0,0,low_beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low_beta,0,low_beta,0,0,0,0,0
